Group ID,Group Name,Chemical Name
36,Halogenated Hydrocarbons,"2,2'-Dichloroisopropyl ether"
36,Halogenated Hydrocarbons,Dichloromethane
36,Halogenated Hydrocarbons,Dichloropropane
36,Halogenated Hydrocarbons,Ethyl chloride
36,Halogenated Hydrocarbons,Ethylene dibromide
36,Halogenated Hydrocarbons,Ethylene dichloride ?
36,Halogenated Hydrocarbons,Methyl bromide
36,Halogenated Hydrocarbons,Methyl chloride
36,Halogenated Hydrocarbons,Monochlorodifluoromethane
36,Halogenated Hydrocarbons,Pentachloroethane
36,Halogenated Hydrocarbons,Perchloroethylene
36,Halogenated Hydrocarbons,"1,1,2,2-Tetrachloroethane"
36,Halogenated Hydrocarbons,"1,2,4-Trichlorobenzene"
36,Halogenated Hydrocarbons,"1,1,1-Trichloroethane ?"
36,Halogenated Hydrocarbons,"1,1,2-Trichloroethane"
36,Halogenated Hydrocarbons,Trichloroethylene ?
36,Halogenated Hydrocarbons,"1,2,3-Trichloropropane"
36,Halogenated Hydrocarbons,"1,1,2-Trichloro-1,2,2-trifluoroethane"
