,ID,Chemical Name,CAS Number,MARPOL,FOSFA,NIOP,EU,Relative Density,Solubility,Boiling Point (°C),Melting Point (°C),Viscosity (mPa·s),Flash Point (°C),Static Accumulator,
,177,GTL NAPHTHA,848301-65-5,A1,,,,0.65 (0.65–0.735),INSOLUBLE,31,,5 (APPROX.),-18,YES,
,178,HEPTANES (MIXED ISOMERS),142-82-5,X,A,L2,A,0.7,INSOLUBLE,90,,1,-5,YES,
,179,1-HEPTANOL,111-70-6,Y,A,L2,A,0.82,INSOLUBLE,175,-34,7,70,,
,180,HEXAMETHYLENEDIAMINE SOLUTION,0124-09-04,Y,B,,,0.92 (70% AQ. SOLUTION @40°C),AQ. SOLUTION,200,4,7.5 (@30°C),80,,
,181,HEXAMETHYLENEGLYCOL,0629-11-8,Z,,,,0.97,COMPLETE,250,39,,101,,
,182,HEXAMETHYLENEIMINE,111-49-9,Y,,,,0.88,COMPLETE,135,-37,,18,,
,183,HEXANOIC ACID,142-62-1,Y,A,L2,A,0.93,1.1,205,-3,,102,,
,184,1-HEXANOL,111-27-3,Y,A,L2,A,0.817,SLIGHT,157,-45,0.44,57,,
[185] HEXENES,,,,,,,,,,,,,,,
,185,1-HEXENE,592-41-6,Y,,,,0.67,INSOLUBLE,63,-140,0.23,-26,YES,
,185,2-HEXENE,592-43-8,Y,,,,0.69,INSOLUBLE,68,-99,,-20,YES,
,186,HEXYL ACETATE,142-92-7,Y,,,,0.88,INSOLUBLE,170,-80,,37,,
,187,HEXYLENE GLYCOLS,107-41-5,Z,,,,0.924,COMPLETE,196,-40,42,93,,
