,COMMODITIES,SpGr ,Temp,Correction factor,Ship Type,Tank Type,Pollution cat,Compliance,USCG compat,Boiling point,Melting point,Flash point,Heat adjacent,Heat req V,Heat req D,Colour,Solubility,UnNr,
,,,,,,,,,,,,,,,,,,,IMO name: C-18
Alfol alcohol C-6,,.820,15,.00071,3, ,N,N,20,154, ,71,38,N,,WW,SLI,2582,N2 not required. Color sensitive and may pick 
,,,,,,,,,,,,,,,,,,,up from rust. Slightly soluble in water. Use 
,,,,,,,,,,,,,,,,,,,Stolt A or B as required. 
,,,,,,,,,,,,,,,,,,,IMO name: Hexanol-1 or Hexyl alcohol
Alfol alcohol C-8,,.820,15,.00071,3,2g,C,Y,20,188, ,82,38,N,N,WW,SLI,2582,N2 not required. Color sensitive and may pick 
,,,,,,,,,,,,,,,,,,,up from rust. Slightly soluble in water. Use 
,,,,,,,,,,,,,,,,,,,Stolt A or B as required. 
,,,,,,,,,,,,,,,,,,,IMO name: Octanol (all Isomers)
Alfol phthalate 610p,,.970,15,.00071,3,,N,N,34,241,,238,40,N,,WW,SLI,,Water sensative. Check grade. Warm wash.
,Alfol plasticizer,,,,,,,,,,,,,,,,,,Marpol appendix 3.
,Repoxal,,,,,,,,,,,,,,,,,,
Alfol phthalate 810p,,.970, , ,3,, ,N,34, ,,238,40, ,, , ,,Water sensative. Check grade. Warm wash.
,Alfol plasticizer,,,,,,,,,,,,,,,,,,Marpol appendix 3.
,Repoxal,,,,,,,,,,,,,,,,,,
Alkyd paint resin (Dupont),,1.000,15,,3,,,N,,,5,37,N,,,amber,NO,,A drying produkt like paint. Thouch dry in 1 h.
,Drying oil alkyd Resin,,,,,,,,,,,,,,,,,,Toulene or xylene have some effect. Strong 
,,,,,,,,,,,,,,,,,,,"caustic have no effect,. No class but should be"
,,,,,,,,,,,,,,,,,,,IMO 3. Noncomplance.
Alkyl benzene sulfonic acid,,1.000,,,3,2g,C,Y,,,,,Y,Y,Y,white to,Y,,"Compliance cargo, IMO chapter 6 USCG# 00"
,Dodecyl benzene sulfonic acid,,,,,,,,,,,,,,,yellow,,,"but incompatible with #1,2,3,5,6,7,8,9,15,16,19,"
,Sulfamins,,,,,,,,,,,,,,,,,,",30,34 and 37. High viscosity. Several diffrent "
,Marlon AS,,,,,,,,,,,,,,,,,,"grades, check. Some grades may require high"
,,,,,,,,,,,,,,,,,,,heat. Handle and clean as Sulphuric acid.
Alkyl Diphenyl,,1.060,15,,3,,,N,33,257,12,124,Y,40,60,,Y,,Heat transfer medium. Get spec. before
,,,,,,,,,,,,,,,,,,,booking.This is Diphenyl and Diphenyl Ether 
,,,,,,,,,,,,,,,,,,,"mix, not listed in the IMO code. Most probably"
,,,,,,,,,,,,,,,,,,,a cat A substance.
Alkyl phenol polyether glycol,,1.062,20,,,,,N,40,204,5,216,,N, ,light,,,w/w standard. Check if heating id requiered
,,,,,,,,,,,,,,,,yellow,,,Priduct is not classified for shipment.
