,COMMODITIES,SpGr ,Temp,Correction factor,Ship Type,Tank Type,Pollution cat,Compliance,USCG compat,Boiling point,Melting point,Flash point,Heat adjacent,Heat req V,Heat req D,Colour,Solubility,UnNr,
,Paraffin,,,,,,,,,,,,,,,white,sli,,
Anthracene oil,,1.240,,,2,2g,A,Y,33,270,217,121,Y,65,,brown,,,"Difficult cargo. Very toxic, a Known carcinogen."
,Coal tar fraction,,,,,,,,,,,,,,,,,,Compliance cargo because of pollution hazards
,,,,,,,,,,,,,,,,,,,Avoid coated space. must have full specs. and
,,,,,,,,,,,,,,,,,,,heating req prior booking
Antifreeze (Glycol based),,1.120,,,,,,Y,20,198,-13,116,48,N,,clear,Y,,ww standard. Wall wash may be required.
,,,,,,,,,,,,,,,,,,,Check each grade. Warm wash
Apple concentrate,,1.350,,,,,N,N,20,,,,N,N,,pale,,,Very high cleanliness required. Tank must be 
,,,,,,,,,,,,,,,,yellow,,,stearlized. N2 required. Color sensitive to light. 
,,,,,,,,,,,,,,,,,,,Believe only SS tanks will be acceptable.
Aroma C-9,,.922,15,,2,2g,A,Y,31,150,,58,37,N,N,brown,sli,,Prewash cargo. Tripartite agreement USA/Liberia
,C-9 Resin oil feedstock,,,,,,,,,,,,,,,,,,and Holland. To be carried under n.o.s. #4.
,Aromatic resin feedstock,,,,,,,,,,,,,,,,,,Mixture of aromaatic hydrocarbons with main
,C-9 resinfeed,,,,,,,,,,,,,,,,,,compoonents Vinyl Toulene and Indene. tox. Inhib.
Asphalt,,1.000,20,,,,N,N,33,,,148,,,,brown,N,,Problem cargo High heat. Difficult cleaning.
,Asphalt cements,,,,,,,,,,,,,,,blk,,,Several grades. Marpol annex 1.
,Asphalt Bitumen,,,,,,,,,,,,,,,,,,
,Bitumen,,,,,,,,,,,,,,,,,,Consult Ops. dep beefore booking
,Petrolium asphalt,,,,,,,,,,,,,,,,,,
Asphalt blending stocks flux,,1.000,,,,,N,N,33,,743,148,Y,,,brown,N,,Problem cargo High heat. Difficult cleaning.
,Asphaltum oil,,,,,,,,,,,,,,,blk,,,Several grades. Marpol annex 1.
,Flux oil,,,,,,,,,,,,,,,,,,
,Petroleum Tailings,,,,,,,,,,,,,,,,,,Consult Ops. dep beefore booking
,Residual oil,,,,,,,,,,,,,,,,,,
,Road oil,,,,,,,,,,,,,,,,,,
Asphalt blending stocks Residue,,1.000,,,,,N,N,33,,,,Y,,,brown,N,,Problem cargo High heat. Difficult cleaning.
,Carpeting medium,,,,,,,,,,,,,,,blk,,,Several grades. Marpol annex 1.
,Petroleum asphalt,,,,,,,,,,,,,,,,,,
,Petroleum pitch,,,,,,,,,,,,,,,,,,Consult Ops. dep beefore booking
,Petroleum Residue,,,,,,,,,,,,,,,,,,
,Residual asphalt,,,,,,,,,,,,,,,,,,
,Road binder,,,,,,,,,,,,,,,,,,
Asphalt cutback,,.960,,,,,N,N,33,,,26,,49,,blk,N,,"Different grades, some req heat. Difficult cleaning"
,,,,,,,,,,,,,,,,,,,back to ww standard. Consult. Gen .Ops prior
,,,,,,,,,,,,,,,,,,,to booking. Marpol annex 1.
Atmospheric gas oil,,.870,,,,,N,N,33,,,,N,N,,dark,,,Get specs. Handle as other gas oils.
,Vaccum Gas Oil,,,,,,,,,,,,,,,,,,Marpol annex 1.
Aviation gas,,.650,,,,,N,N,33,,,,N,N,,cl,,,Check lead content and if contains dye. MSC not 
,Sky chief,,,,,,,,,,,,,,,orng,,,accepting animal/veg oils as last cargo. If coating
,Premier 93,,,,,,,,,,,,,,,red,,,stained - contact SNI. Run acid wash test to check
,Regular 81,,,,,,,,,,,,,,,blu,,,for dye. Marpol annex 1.
,Hydro crackate,,,,,,,,,,,,,,,,,,
Babassu oil,,.920,,,,,D,N,34,176,,148,,49,,Yellow,N,,Check FFA if stowing Zinc. Non drying oil. Get
,Brazilian palm oil,,,,,,,,,,,,,,,,,,heating instructions. Clean as for Palmoil.
Benzene,,.8880 ,15,.00100,3,2g,C,Y,32,80,6,-11,37,N,N,ww to,part,1114,Poisonous cargo. Check USCG/IMO req.Vapor
,,,,,,,,,,,,,,,,yellow,ly,,return maybe requiered. ww standard. Wall wash
,Benzol,,,,,,,,,,,,,,,,,,may be req.(Exxon) depending last cargo.
,Benzole,,,,,,,,,,,,,,,,,,"Note: Check freezing point, may be req. in cold"
,,,,,,,,,,,,,,,,,,,climate. Correct IMO name: Benzene and mixtures.
,,,,,,,,,,,,,,,,,,,having 10% benzene or more.
Benzene Sulphonyl chloride,,1.378,15,.00072,3,2g,D,Y,,252,14,140,Y,Y,Y,clear,N,2225,SS stow only  tk and product must be 100% water-
,Benzene sulfonechloride,,,,,,,,,,,,,,,,,,free. Avesta detected corrosion after 14 days with
,Benzene sulfonic (acid) chloride,,,,,,,,,,,,,,,,,,product whitch contained only 100 ppm water.
,,,,,,,,,,,,,,,,,,,N2 purging and blanketing req. Get heating instr.
,,,,,,,,,,,,,,,,,,,and exact water content in ppm. Clean with plenty 
,,,,,,,,,,,,,,,,,,,luke warm water. Spray Stolt A or B.Rewash do
,,,,,,,,,,,,,,,,,,,not leave slop in the tank.
Benzoyl chloride,,1.212,20,,,,,Y,36,197,-1,95,N,N,N,clear,N,,Toxic and very irritating to eyes and respatory tract
,,,,,,,,,,,,,,,,,,,Use protection. See remarks 2 and 4 in Avesta 
,,,,,,,,,,,,,,,,,,,book. Reacts with water and moisture to produce
,,,,,,,,,,,,,,,,,,,"HCL., use N2 blanket. Clean with plenty cold water"
,,,,,,,,,,,,,,,,,,,flush with fresh and steam. Donot collect slop on
,,,,,,,,,,,,,,,,,,,board.Passivation rec. Not listed in IMO.
Benzyl chloride,,1.100,,,2,2g,B,Y,36,179,-43,67,N,N,,ww,N,1738,ww standard. Cargo hydrolisis with water to form
,Benzenecarbonyl chloride,,,,,,,,,,,,,,,,,,acids.  Consult coating residtency list. Do not use
,Alpha chloro toulene,,,,,,,,,,,,,,,,,,coated tk as slop tk. Cold wash.
Bitumen oil,,.912,16,.00080,,,N,N,33,,,,,N,N,blk,,,"Similar to fuel oil #6,  but heating not req. No clean-"
,,,,,,,,,,,,,,,,,,,ing problems reported. Avoid stowing zinc.
,,,,,,,,,,,,,,,,,,,Marpol annex 1
Black waxy residue,,,,,,,,,,,,,,,,,,,Difficult product stay away.
Brake fluid,,1.000,,.00078,3,,D,N,40,65,,65,37,N,N,off-,sli,,Glycol ether mix. PH 10-12. ww standard. Hot wash.
,Ucon 7o r 3,,,,,,,,,,,,,,,white, ,,Correct IMO  name: Brake fluid base mix.
Breaxit 7896 (exxon),,.990,,,3,,,N,33,149,10,46,54,,,tan,N,,ww standard. Get specs . For each shipment
,Synthetic resin,,,,,,,,,,,,,,,,,,Must have correct chemical name
Btx,,.860,,.00092,3,2g,B,Y,32,110,,10,37,N,,ww,Y,,"Benzene, toulene, xylene mix. ww stndard. Check "
,Btx mixture,,,,,,,,,,,,,,,,,,Benzene content. If Benzene content is 10% or
,,,,,,,,,,,,,,,,,,,more itis a category B if less than 10% it is C.
,,,,,,,,,,,,,,,,,,,See IMO code for correct shipping name.
Butadiene (inhibited),,.620,20,.00180,,,,Y,30,-4,-109,-85,N,N,,c-less,N,,Req cooliing to -30C
,Blethylene,,,,,,,,,,,,,,,,,,or pressure tk.
,"Butadiene-1,3",,,,,,,,,,,,,,,,,,
,Bivinyl,,,,,,,,,,,,,,,,,,
,Divinyl,,,,,,,,,,,,,,,,,,
,Vinylethylene,,,,,,,,,,,,,,,,,,
Butane,,.580,,,,,,Y,31,-48,-138,-60,,,,,N,,Req cooliing to -20c
,Butane-n,,,,,,,,,,,,,,,,,,or pressure tk.
,N-Burane,,,,,,,,,,,,,,,,,,
Butyl acetate-norm,,.880,15,.00101,3,2g,C,Y,34,126,-76,31,37,N,N,ww,sli,1123,ww standard - dry. Cold wash followed by steam.
,Butyl ester-s,,,,,,,,,,,,,,,,,,Consult resistency list when stowing Zinc.
,Butyl ethanoate,,,,,,,,,,,,,,,,,,
,Butyl ester-s,,,,,,,,,,,,,,,,,,
,N-butyl acetate,,,,,,,,,,,,,,,,,,
Butyl acrylate-norm,,.900,15,.00010,2,2g,D,Y,14,148,-64,48,30,N,,ww,sli,2348,Inhibited ww standard - dry. Cold wash followed by 
,Butyl 2-propenoate,,,,,,,,,,,,,,,,,,hot. Use Stolt C to remove odor. Celanese req. 
,N-butyl acrylate,,,,,,,,,,,,,,,,,,wall wash.
Butyl alcohol-norm,,.810,15,.00063,3,,,N,20,117,-89,35,38,N,N,ww,negl,1120,ww standard. Hot wash. Celanese req wall wash.
,Butanol-1,,,,,,,,,,,,,,,,,,and odor test. N2 may be req. by some skippers.
,N-butyl alcohol,,,,,,,,,,,,,,,,,,Marpol appendix 3
,Butanol-n,,,,,,,,,,,,,,,,,,
,N-butanol,,,,,,,,,,,,,,,,,,
Butyl alcohol-sec,,.800,15,.00063,3,,,N,20,99,-115,29,38,N,,ww,negl,1120,ww standard Hot wash
,Butanol-2,,,,,,,,,,,,,,,,,,Marpol appendix 3
,S-butyl alcohol,,,,,,,,,,,,,,,,,,
,Butanol-s,,,,,,,,,,,,,,,,,,
Butyl alcohol-tert,,.770,15,.00063,3,,,N,20,83,-25,16,49,29,,ww,negl,1120,ww standard. N2 may be req. This grade may
,Butanol-3,,,,,,,,,,,,,,,,,,require heat. Hot wash.
,T-butyl alcohol,,,,,,,,,,,,,,,,,,Marpol appendix 3
Butyl benzyl phthalate,,1.120,25,,2,2g,A,Y,34,357,,199,49,N,,clear,sli,,ww standard. N2 req. Hot wash.
,Bbp,,,,,,,,,,,,,,,,,,Cargo is water sensative.
,Santicizer 160,,,,,,,,,,,,,,,,,,
,Palatinol b.b.,,,,,,,,,,,,,,,,,,
Butyl ether,,.770,20,.00085,3,2g,C,Y,41,142,,25,,N,,c-less,N,1149,"ww  ""plus"" standard. N2 blanket while loading,"
,Dibutyl ether-n,,,,,,,,,,,,,,,,,,transit and discharging. Cold wash followed by hot
,,,,,,,,,,,,,,,,,,,and steam.
Butyl Methacrylate Monomer,,.895,25,,3,2g,D,Y,14,163,,54,38,N,,ww,N,,ww standard. Inhibited. Heat and moisture and/or
,Methacrylic acid butyl ester,,,,,,,,,,,,,,,,,,oxidation may cause polymerization. Cold wash
,Butyl methacrylate,,,,,,,,,,,,,,,,,,followed by hot. Use Stolt C for odor.
,Butyl 2-methacrylate,,,,,,,,,,,,,,,,,,
,Butyl-alpha-methyl acrylate-n,,,,,,,,,,,,,,,,,,
,Butyl-2-methyl-2,,,,,,,,,,,,,,,,,,
,Propenoate,,,,,,,,,,,,,,,,,,
,Butyl-a-Methyl acrylate,,,,,,,,,,,,,,,,,,
Butyl phenol-ortho/sec,,.980,,,,,,,,230,15,93,60,27,,ww,,,ww standard.  Hot wash. Heat req. get instructions.
,,,,,,,,,,,,,,,,,,,not yet classified for shipment.
Butyl phenol-ortho/tert,,.980,,,,,,,,224,-7,110,49,,,ww,N,,ww standard. Heating may be req. Handle and 
,,,,,,,,,,,,,,,,,,,clean as phenol. Hot wash. Not yet classified
,,,,,,,,,,,,,,,,,,,for shipment.
Butylamine-norm,,.740,20,.00090,2,2g,C,Y,7,78,-50,-12,N,N,N,c-less,Y,,ww standard. N2 recommended. Cold wash.
,Aminobutane-1,,,,,,,,,,,,,,,,,,
,Mono-n-butylamine,,,,,,,,,,,,,,,,,,
,Nonylamine,,,,,,,,,,,,,,,,,,
Butylamine-sec,,.720,20,,2,2g,C,Y,7,63,-104,-9,N,N,,white,Y,,Zinc pickup in zinc tks. N2 recommended.Cold w.
Butylamine-tert,,.700,20,.00090,2,2g,C,Y,7,45,-67,-9,N,N,N,c-less,Y,,"Avoid heat adjacent,"
,Aminioisobutane-2,,,,,,,,,,,,,,,,,,(B.p. 45C). Cold wash.
,Amino-2-methylpropane-1,,,,,,,,,,,,,,,,,,
,Trimethylamino methane,,,,,,,,,,,,,,,,,,
Butylene,,.595,20,,,,,Y,30,-7,,,,,,c-less,N,,Gas code.
,Butene-1,,,,,,,,,,,,,,,,,,
,Ethyl ethylene,,,,,,,,,,,,,,,,,,
,Butene 2-trans,,,,,,,,,,,,,,,,,,
,Isobutene,,,,,,,,,,,,,,,,,,
,Butene 2-cis,,,,,,,,,,,,,,,,,,
,Butylene-cis,,,,,,,,,,,,,,,,,,
,Butylene-trans,,,,,,,,,,,,,,,,,,
,Butylene-A,,,,,,,,,,,,,,,,,,
"Butylene glycol-1,3",,1.010,,,3,,D,N,20,208,,121,38,N,,clear,Y,,ww standard. N2 normally req. Two grades;
,"Butanediol-1,3",,,,,,,,,,,,,,,,,,Technical and food. Food grade may req. wall 
,,,,,,,,,,,,,,,,,,,wash. Cold wash. Must be on ships COF.
"Butylene glycol-1,4",,1,,,3,,D,N,20,229,18,121,52,33,,ww,Y,,ww standard. No wall wash. N2 usually req.
,"Butanediol-1,4",,,,,,,,,,,,,,,,,,Cold wash Must be on ships COF.
,"Dihydroxylbutane-1,4",,,,,,,,,,,,,,,,,,
,Tetramethyleneglycol,,,,,,,,,,,,,,,,,,
"Burylene oxide-1,2",,.830,15,.00113,2,2g,C,Y,16,62,,-26,N,N,N,ww,p-ly,3022,Cargo of particular hazard . Check USCG/IMO
,Butene oxide-1,,,,,,,,,,,,,,,,,,requirements. Consult SNI handling manual.
,"Epoxybutane-1,2",,,,,,,,,,,,,,,,,,Classed as propylene oxide except that cooling
,Butylene oxide-a,,,,,,,,,,,,,,,,,,not required.
Butyraldehyde,,.806,15,.00104,3,2g,B,Y,19,76,-99,-7,N,N,N,ww,Y,1129,N2 blanket required. Reacte with air. Cold wash as
,Glutar aldehyde solution,,,,,,,,,,,,,,,,,,soon as possible after discharge.
,Butyric aldehyde,,,,,,,,,,,,,,,,,,
,Butyl aldehyde,,,,,,,,,,,,,,,,,,
Butyric acid-norm,,.960,20,.00099,3,2g,B,Y,4,164,-8,74,40,N,N,clear,Y,2820,"Corrosive liquid, handle as an organic acid. clean"
,Butyric acid,,,,,,,,,,,,,,,,,,"with plenty cold water, do not leve slops in tank."
,Butanoic acid,,,,,,,,,,,,,,,,,,
,Butaric acid,,,,,,,,,,,,,,,,,,
,Ethyl acetic acid,,,,,,,,,,,,,,,,,,
,Propane carboxylic acid,,,,,,,,,,,,,,,,,,
,Propyl formic acid,,,,,,,,,,,,,,,,,,
,N-butyric acid,,,,,,,,,,,,,,,,,,
Butyrolactone,,1.140,15,.00095,3,,D,N,,204,-44,98,38,N,N,c-less,Y,,ww standard. Acid wall wash may ve required if 
,,,,,,,,,,,,,,,,,,,last cargo is oil or fats. Cold wash. Not assigned
,,,,,,,,,,,,,,,,,,,"any compatibility #, but uncompatible with groups"
,,,,,,,,,,,,,,,,,,,1 through 9. Must be on ships COF.
Butyl/decyl/cetyl-eicosy metacrylate mix,,,,,3,2g,D,Y,14,160,,50,N,N,N,ww,negl,,Inhibited Carry and handle like any other acrylate
,,,,,,,,,,,,,,,,,,,"Noheat adjacent. USCG name: Butyl Metacrylate,"
,,,,,,,,,,,,,,,,,,,"Decyl Metacrylate, Cetyl-Eicosy Metacrylate Mix."
,,,,,,,,,,,,,,,,,,,IMO name: Left row.Should be easy cgo.full specs.
C-5 streams (cont 15%or more isoprene),,.705,15,,3,2g,,Y,30,,,,N,N,N,clear,N,,"Low flash, low boiling and vapor press. Req. purg"
,C5/C10 streams,,,,,,,,,,,,,,,,,,"and vapor return, must be carried under positive"
,C5/C10 Mixtures,,,,,,,,,,,,,,,,,,N2 pressure. USCG classified as compliance with
,Pyrolysis gasoline,,,,,,,,,,,,,,,,,,Isoprene as ref. -cargo. (cooling req) Inhibited.
,,,,,,,,,,,,,,,,,,,Stow only SS. Clean as lowflash gasoline.
Calcium bromide 58%,,1.715,15,.00074,3,,,N,43,129,,,N,N,N,white,Y,,Full spec. req. prior to shipping. SS manufacturer
,Alkaline earth halide,,,,,,,,,,,,,,,,,,say no. We have carried in SS with no problems
,,,,,,,,,,,,,,,,,,,Marpol appendix 3.
Calcium carbonate oil,,.960,,,3,2g,B,Y,,157,,60,Y,38,52,tan,N,,Get specs. and heating instructions. Hot wash.
,Hi-grade kerosene 55%,,,,,,,,,,,,,,,,,,USCG classified as Calcium Carboxylate.
,Mineral oil  55%,,,,,,,,,,,,,,,,,,Not yet assigned any compatibility #.
,Calcium Sulfonate 40%,,,,,,,,,,,,,,,,,,
,Calcium carbonate 40%,,,,,,,,,,,,,,,,,,
Calcium chloride liquor,,1.350,20,,3,2g,D,N,43,115,-10,,,N,,ww,,,Avaiting more specs. Camcote N and EP for 50%
,,,,,,,,,,,,,,,,,,,solution.
Calcium chloride 35%,,1.000,,,3,,D,N,43,,,,,,,ww,Y,,Full spec. required prior to shipping. 
,,,,,,,,,,,,,,,,,,,Should be easy cargo.
,,,,,,,,,,,,,,,,,,,
Calcium hydroxide 50%,,1.100,,,,,D,N,,,,,Y,N,,grey,sli,,Get full specs. and heating req. Hot wash.
,Slaked lime,,,,,,,,,,,,,,,ww,,,Must be on ships COF:
,Caustic lime,,,,,,,,,,,,,,,,,,
Champhor oil,,.920,25,,3,2g,B,Y,18,175,,47,47,N,,ww,sli,1130,Note: TLV only 2ppm.
,Liquid impure camphor,,,,,,,,,,,,,,,brown,,,Clean: Cold wash followed by hot and steam.
,Liquid gum camphor,,,,,,,,,,,,,,,blue,,,Use Stolt C for spot cleaning.
Caprolactam solution,,1.020,77,,3,,D,N,22,148,15,1,37,N,,yel/brn,Y,,Check % solution. Warm Wash.
,Aminocaproic Lactam,,,,,,,,,,,,,,,,,,
,Hexahydro-2h-azepin-2-one,,,,,,,,,,,,,,,,,,
,Ketohexame-2,,,,,,,,,,,,,,,,,,
,Caprolactam-e,,,,,,,,,,,,,,,,,,
Caprylic Acid,,.900,15,,3,,,N,34,,10,132,amb,N,N,clear,sli,,"Sensitive product, handle with care. may req. "
,Octylic acid,,,,,,,,,,,,,,,,,,"heat in cold climate, get heating instructions. Do"
,Octoic acid,,,,,,,,,,,,,,,,,,not stow adjacent to high heat. N2 blanket may be
,Octanoic acid,,,,,,,,,,,,,,,,,,asked for. Coated tanks must be in good condition
Carbolic oil,,1.070,,,2,2g,A,Y,21,182,41,54,Y,67,,light,N,,Treat and handle as phenol. Heat req: 65.6 to 
,Middle oil,,,,,,,,,,,,,,,brown,,,71.1C. hot wash soon as possible after discharge.
,Liquefied phenol,,,,,,,,,,,,,,,,,,Use Stolt A or B for spots.
Carbon Black feedstock,,.980,57,,3,2g,B,Y,33,232,10,66,Y,57,,dark,N,,Consult SNI handling manual.
,Aromatic tar,,,,,,,,,,,,,,,brown,,,Very difficult to clean.
,Aromatic concentrate,,,,,,,,,,,,,,,,,,
,Arotar,,,,,,,,,,,,,,,,,,
Carbon disulfide,,1.250,25,.00148,2,1g,A,Y,38,46,75,-30,N,N,,clear,sli,1131,Cargo of particular hazard. Check USCG/IMO
,Carbon bisulfide,,,,,,,,,,,,,,,,,,requirements. We are not able to handle on 
,,,,,,,,,,,,,,,,,,,present tonnage - consult Gen Ops.
Carbon tetrachloride,,1.602,15,196,3,2g,B,Y,36,77,-23,,37,N,N,clear,p-ly,1846,ww standard. Cold wash. Avoid stow oils/fats as
,Benzinoform,,,,,,,,,,,,,,,white,,,last cargo. Acid wall wash before  presenting tks
,Necatorina,,,,,,,,,,,,,,,,,,"if oils/fats are last cargo. Toxic and narcotic, "
,Perchloromethane,,,,,,,,,,,,,,,,,,absorbed through skin. DuPoint and ICI have
,Tetrachloromethane,,,,,,,,,,,,,,,,,,"special req. for last cargo, coating etc."
,Carbon tet,,,,,,,,,,,,,,,,,,
Cadura ester,,.970,15,.00078,3,2g,B,Y,34,273,-60,120,48,N,,pale,Y,,ww sstandard. N2 blanket req. Acid wall wash if 
,Glycidyl ester of versatic acid,,,,,,,,,,,,,,,,,,oils/fats last cargo. Color sensitive. Warm wash.
,,,,,,,,,,,,,,,,,,,Classified as Glycidyl ester of versatic acid.
Cashew nutshell oil,,.920,,,3,2g,D,Y,4,180,,,40,,,very,p-ly,,"Toxic. Get heating instructions. hot wash, use Stolt"
,Cardanol,,,,,,,,,,,,,,,dark,,,C for spots. Skin irritant like poision ivy.
Castor oil,,.960,,,,,D,N,34,313,-10,229,48,30,,pale,sli,,"ww ""plus"" Standard for medicine grade. Note: "
,Ricirus oil,,,,,,,,,,,,,,,light,,,Loading Bombay may require tank(s) to be spraye
,Turkey oil,,,,,,,,,,,,,,,yellow,,,down with product prior to loading. Check FFA if
,Alzarin oil,,,,,,,,,,,,,,,,,,zinc.  Semi-Drying. Cold wash immediatly after
,,,,,,,,,,,,,,,,,,,discharge. Inspect and use Stolt C for final cleaning
,,,,,,,,,,,,,,,,,,,Must be on ships COF.
Castor oil fatty acid,,,,,3,,D,N,34,,,,,,,,,,Must have full specs. this product before shipping.
,,,,,,,,,,,,,,,,,,,Unregulated. Should be similiar to other fatty acids
,,,,,,,,,,,,,,,,,,,derived from veg. oils. Must be on ships COF.
Caustic potash 45%,,1.500,20,.00070,3,2g,C,Y,5,132,-4,,Y,N,,off,Y,1814,Handle as Caustic Soda 50%. More aggressiv
,Potassium hydroxide lye,,,,,,,,,,,,,,,white,,,for coatings at higer temp. - check.
Caustic soda 50%,,1.536,15,.00068,3,2g,C,Y,5,142,10,,Y,Y,Y,white,Y,1134,"Shippers may have iron spec, in which case must"
,Caustic soda,,,,,,,,,,,,,,,grey,,,"have ""perfect"" coating. Mercury steel okay for "
,Sodium hydroxide,,,,,,,,,,,,,,,,,,aluminum grade. Mercury or rayon grades req.
,Liquified caustic soda,,,,,,,,,,,,,,,,,,perfect coated tks or stainless steel. Heating 
,Caustic soda liquid,,,,,,,,,,,,,,,,,,"dependent on trade, from no heat in warm climate"
,Liquid causticsoda,,,,,,,,,,,,,,,,,,to 43C in cold climate.
,Caustic soda liquified,,,,,,,,,,,,,,,,,,
,Liq.caustic soda,,,,,,,,,,,,,,,,,,
Caustic soda 70%,,,,,,,,Y,5,,,,,,,,,,Special tks req. Check with Ops .Dep.
Cellosolve acetate,,.974,20,.00109,3,2g,C,Y,34,186,,51,37,N,N,ww,sli,,ww standard. UCC require odor test. N2 req. in
,,,,,,,,,,,,,,,,,,,"most cases. Cold wash, steam and vent."
Ceelosolve solvent,,.930,20,.00090,3,,D,N,40,135,,48,37,N,N,ww,Y,,ww standard. UCC very strict on odor specs.
,Ethoxyethanol-2,,,,,,,,,,,,,,,,,,Clean with amb temp water vent.
Cetyl Eicosyl Methacrylate,,.860,,,3,2g,N,Y,14,370,,149,N,N,N,ww,N,,ww standard. Clean as MMM. Stow away from heat
,,,,,,,,,,,,,,,,brown,,,Inhibited.
China clay slurry,,1.760,,,,,N,N,43,,3,,,,,grey,,,Contact Gen Ops before booking.  Will req.special
,Kaolin slurry,,,,,,,,,,,,,,,,,,pumps. Marpol annex 3.
Chlorine,,1.560,-35,,,,N,Y,,-33,-101,-101,,,,gr-yel,,,Gas code.
Chloroacetic acid 80 % or less,,1.580,,,2,2g,C,Y,4,186,61,126,,,,clear,Y,1750,Can not handle at the present time.
,Monochloroacetic acid,,,,,,,,,,,,,,,lt,,,Requirers special llining like glass.
,Chloroacetic acid,,,,,,,,,,,,,,,yellow,,,
Chlorobenzene,,1105,25,.00108,2,2g,B,Y,35,136,-45,28,37,N,,clear,N,1134,ww srandard.Check resistency list prior to stow
,Monochlorobenzene,,,,,,,,,,,,,,,,,,SS. Cold wash. Toxic by inhalation and skin abs.
,Mcb,,,,,,,,,,,,,,,,,,
,Benzene chloride,,,,,,,,,,,,,,,,,,
,Phenyl chloride,,,,,,,,,,,,,,,,,,
Chloroform (Technical),,1.496,15,.00186,3,2g,B,Y,36,61,-63,,37,N,N,clear,sli,1888,"ww ""plus"" required . Acid wall wash if oils/fats last"
,Trichloromethane,,,,,,,,,,,,,,,,,,"cargo. N2 purging, blanketing. cold Wash"
,Amyl chloroform-dow,,,,,,,,,,,,,,,,,,
Chlorohydrin (crude),,1.180,,,2,2g,D,Y,17,213,,33,N,N,,ww,Y,,Poisonous cargo. Hygrosonic ww standard.
,Crude epichlorohydrin,,,,,,,,,,,,,,,,,,Cold wash.
Chloronitrobenzene-ortho,,1.360,,,2,2g,B,Y,42,245,32,127,Y,60,,yellow,N,1578,Get specs. prior stow SS. Highly toxic.
,Chloronitro benzene-2,,,,,,,,,,,,,,,,,,Hot wash.
Chloroprene,,1.000,,,,,C,Y,,59,,-20,N,N,,ww,sli,,ww standard. Inhibited Note; Low BP. Cold wash.
,"Chlorobutadiene-1,3-2",,,,,,,,,,,,,,,,,,Not yet assigned to any compability group.
,,,,,,,,,,,,,,,,,,,Compliance cargo.Note: This product has been 
,,,,,,,,,,,,,,,,,,,deleted from the IMO code as it has never been
,,,,,,,,,,,,,,,,,,,carried in bulk. nor is it expected to be carried in b:
Chloropropionic acid 2,,1.250,,,3,2g,C,Y,,185,41,,,,,,Y,,Must have special handl.req. approved by USCG.
Chloropropionic acid 3,,,,,3,2g,C,Y,,200,,,,,,,Y,,Must have special handl.req. approved by USCG.
Chlorosulfonic acid ,,1.750,,,1,2g,C,Y,,155,-80,,,,,pale-y,Y,1754,Must have special handl.req. approved by USCG.
Chlorotoulene-meta,,1.000,,,3,2g,B,Y,36,161,,,37,,,ww,,2238,ww staandard. N2 blanket req. out from Japan.
,Chloromethylbenzen-meta,,,,,,,,,,,,,,,,,,Low heat adjacent (38C). Hot wash.
Chlorotoulene-mixed,,1.000,,,2,2g,A,Y,36,160,,54,48,21,,ww,sli,2238,ww staandard. N2 blanket req. out from Japan.
,Chloromethylbenzen-mx,,,,,,,,,,,,,,,,,,Low heat adjacent (38C). Hot wash.
Chlorotoulene-ortho,,1.000,,,3,2g,A,Y,36,159,,,37,,,ww,sli,2238,ww staandard. N2 blanket req. out from Japan.
,Chloromethylbenzen-o,,,,,,,,,,,,,,,,,,Low heat adjacent (38C). Hot wash.
Chlorotoulene-para,,1.000,,,2,2g,B,Y,36,162,7,57,48,27,,ww,sli,2238,ww staandard. N2 blanket req. out from Japan.
,Chloromethylbenzen-p,,,,,,,,,,,,,,,,,,Low heat adjacent (38C). Hot wash.
Choline chloride 70%,,1.100,20,,,,N,N,20,121,-12,,29,N,,ww,Y,,ww standard. No heat adjacent for coated tks.
,,,,,,,,,,,,,,,,,,,Cold wash
Clarified oil,,.850,20,,,,N,N,33,,,,,,,,,,Light fuel oil (diesel). More info req.
Clay liquid,,1.750,,,,,,N,43,93,1,,N,N,,,Y,,Get spec. prior to booking. Could create some 
,,,,,,,,,,,,,,,,,,,problems depending on specs. Marpol apendix 3
"Clean petroleum product, unleaded",,,,,,,N,N,33,,,,,,,,,,General trm for product or clean trade.
,Unl.cpp,,,,,,,,,,,,,,,,,,
,Cpp unleaded,,,,,,,,,,,,,,,,,,
,Unl cpp und 2.5 npa,,,,,,,,,,,,,,,,,,
,Unleaded cpp,,,,,,,,,,,,,,,,,,
,Cpp. unl,,,,,,,,,,,,,,,,,,
Coal oil,,,,,,,N,N,33,,,,,,,,S,,Oil derived from coal. More info. req.before carriag
,,,,,,,,,,,,,,,,,,,requirements ccan be established.
Coal slurry,,1.200,15,,3,,,N,43,100,,,amb,N,N,blk,,,Can not handle with standard framo pumps as
,,,,,,,,,,,,,,,,,Y,,very erosive to seals etc. chk with Ops Dep.
Coal tar,,1.000,,,3,2g,A,Y,33,204,1,,Y,57,,light,Y,,Different grades. Get specs. and contact general 
,,,,,,,,,,,,,,,,to,,,Ops. important thaan heating is kept high and 
,Crude solvent naphtha,,,,,,,,,,,,,,,blk,,,steady. Variation in temmp. will drop salt/sediment
,,,,,,,,,,,,,,,,,,,to bottom. great cleaning probllems if back to ww
,,,,,,,,,,,,,,,,,,,products. Better stay away.
